"";"id";"inDate";"forDate";"forTime";"dlFullPath";"rawDirFullPath";"rawFileName";"headlineFileFullPath";"isBentoLink";"isSpiegelPlusLink";"intro";"title";"section";"link"
"83";83;"2017-06-30";2017-06-20;2017-06-20 06:03:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Störungen behoben:";"Bahnverkehr normalisiert sich nach Brandanschlägen";"Panorama";"http://spiegel.de/panorama/gesellschaft/bahnverkehr-normalisiert-sich-nach-den-brandanschlaegen-a-1153024.html"
"84";84;"2017-06-30";2017-06-20;2017-06-20 05:47:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Wahlkampf:";"Industrie und Union zerpflücken Steuerkonzept der SPD";"Wirtschaft";"http://spiegel.de/wirtschaft/soziales/steuerkonzept-industrie-und-union-kritisieren-plaene-von-schulz-a-1153026.html"
"85";85;"2017-06-30";2017-06-20;2017-06-20 05:37:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Test für Onlineplattform:";"Rewe will ein bisschen wie Amazon werden";"Wirtschaft";"http://spiegel.de/wirtschaft/unternehmen/rewe-liefert-bald-auch-spielzeug-und-parfuem-nach-haus-a-1153023.html"
"86";86;"2017-06-30";2017-06-20;2017-06-20 05:35:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Anhaltende Krise:";"OAS-Staaten uneins über Venezuela-Resolution";"Politik";"http://spiegel.de/politik/ausland/venezuela-oas-aussenminister-koennen-sich-nicht-auf-resolution-einigen-a-1153020.html"
"87";87;"2017-06-30";2017-06-20;2017-06-20 05:20:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Migration:";"Polen, Tschechien, Ungarn und Slowakei weiter gegen EU-Flüchtlingsquoten";"Politik";"http://spiegel.de/politik/ausland/visegrad-laender-wollen-weiter-keine-eu-fluechtlingsquoten-a-1153018.html"
"88";88;"2017-06-30";2017-06-20;2017-06-20 05:17:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"USA:";"Polizisten erschießen schwangere Afroamerikanerin";"Panorama";"http://spiegel.de/panorama/justiz/usa-polizisten-erschiessen-schwangere-afroamerikanerin-a-1153019.html"
"89";89;"2017-06-30";2017-06-20;2017-06-20 05:04:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Autonomes Fahren:";"Ethikkommission warnt vor Totalüberwachung";"Auto";"http://spiegel.de/auto/aktuell/autonomes-fahren-ethik-kommission-warnt-vor-total-ueberwachung-a-1153022.html"
"90";90;"2017-06-30";2017-06-20;2017-06-20 04:16:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Newsblog:";"Das war Der Morgen @SPIEGELONLINE am 20.06.2017";"Politik";"http://spiegel.de/politik/deutschland/nachrichten-am-morgen-die-news-in-echtzeit-a-1152229.html"
"91";91;"2017-06-30";2017-06-20;2017-06-20 03:56:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"SPD-Steuerkonzept:";"So moderat wie der Kandidat";"Wirtschaft";"http://spiegel.de/wirtschaft/soziales/spd-steuerkonzept-von-martin-schulz-die-wichtigsten-inhalte-erklaert-a-1153000.html"
"92";92;"2017-06-30";2017-06-20;2017-06-20 03:42:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Die Lage am Dienstag:";"Kohls Staatsakt";"Politik";"http://spiegel.de/politik/deutschland/news-helmut-kohl-christian-lindner-fdp-weltfluechtlingstag-a-1153013.html"
"93";93;"2017-06-30";2017-06-20;2017-06-20 03:24:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Baufinanzierung:";"So schützen Sie sich vor steigenden Zinsen";"Wirtschaft";"http://spiegel.de/wirtschaft/service/stiftung-warentest-empfiehlt-kredite-mit-festen-zinsen-a-1152936.html"
"94";94;"2017-06-30";2017-06-20;2017-06-20 03:18:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"DFB-Sieg über Australien:";"Leon, der Profi";"Sport";"http://spiegel.de/sport/fussball/confed-cup-deutschland-besiegt-australien-man-achte-auf-leon-goretzka-a-1153010.html"
"95";95;"2017-06-30";2017-06-20;2017-06-20 03:14:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";TRUE;FALSE;"Quiz:";"Was wissen Sie über Flüchtlinge?";"Panorama";"http://www.bento.de/politik/quiz-zum-weltfluechtlingstag-was-weisst-du-eigentlich-ueber-fluechtlinge-1437451/#refsponi"
"96";96;"2017-06-30";2017-06-20;2017-06-20 03:14:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;TRUE;"Gerichtsreportage:";"""Der Typ im Sexfilm, das bin ich""";"Panorama";"http://spiegel.de/spiegel/schwesta-ewa-das-schrille-milieu-der-rapperin-und-ex-prostituierten-a-1152686.html"
"97";97;"2017-06-30";2017-06-20;2017-06-20 03:07:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Trump-Sprecher:";"Weißes Haus denkt über neue Rolle für Spicer nach";"Politik";"http://spiegel.de/politik/ausland/donald-trump-sprecher-sean-spicer-weisses-haus-denkt-ueber-neue-rolle-nach-a-1153017.html"
"98";98;"2017-06-30";2017-06-20;2017-06-20 02:17:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Frankfurt am Main:";"Darstellungen jüdischer Sportidole zerstört";"Panorama";"http://spiegel.de/panorama/justiz/frankfurt-am-main-darstellungen-juedischer-sportidole-zerstoert-a-1153016.html"
"99";99;"2017-06-30";2017-06-20;2017-06-20 01:05:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Nasa-Weltraumteleskop:";"""Kepler"" entdeckt zehn weitere erdähnliche Planeten";"Wissenschaft";"http://spiegel.de/wissenschaft/weltall/nasa-kepler-entdeckt-zehn-weitere-erdaehnliche-planeten-a-1153014.html"
"100";100;"2017-06-30";2017-06-20;2017-06-20 00:21:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"""Hart aber fair"" zu Terrorismus:";"""Ich will Angst haben und zu Hause bleiben dürfen""";"Kultur";"http://spiegel.de/kultur/tv/hart-aber-fair-zu-terror-ich-will-angst-haben-und-zu-hause-bleiben-duerfen-a-1153015.html"
